#                                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
17712at4891_2|ptg000007l:63625-65004     -            460 17712at4891          -            341  1.5e-124  412.6   0.1   1   1    2e-124  7.6e-123  407.1   0.1     1   331     1   407     1   417 0.80 -
12381at4891_2|ptg000016l:66613-67905     -            431 17712at4891          -            341   3.2e-08   30.2   0.0   2   2      0.68        26    0.9   0.0    70   138   274   342   268   350 0.64 -
17077at4891_6|ptg000001l:154292-154936   -            215 17712at4891          -            341   4.4e-08   29.7   0.2   1   2   6.8e-08   2.5e-06   23.9   0.1    17   136     9   118     3   127 0.80 -
17077at4891_6|ptg000001l:154292-154936   -            215 17712at4891          -            341   4.4e-08   29.7   0.2   2   2     0.077       2.9    4.0   0.0    54    87   153   184   137   215 0.62 -
16921at4891_3|ptg000014l:606876-607679   -            268 17712at4891          -            341   5.6e-08   29.4   0.3   1   2     0.038       1.4    5.0   0.1    61   124     4    65     1    81 0.70 -
16921at4891_3|ptg000014l:606876-607679   -            268 17712at4891          -            341   5.6e-08   29.4   0.3   2   2   4.3e-07   1.6e-05   21.3   0.0    55   186    95   232    80   245 0.79 -
2368at4891_2|ptg000013l:468770-471571    -            934 17712at4891          -            341   1.1e-07   28.5   0.2   1   7      0.04       1.5    4.9   0.0    56    92   109   144    75   189 0.75 -
2368at4891_2|ptg000013l:468770-471571    -            934 17712at4891          -            341   1.1e-07   28.5   0.2   2   7       3.5   1.3e+02   -1.4   0.0   267   311   215   259   165   287 0.67 -
2368at4891_2|ptg000013l:468770-471571    -            934 17712at4891          -            341   1.1e-07   28.5   0.2   3   7      0.85        32    0.6   0.0   276   314   268   308   250   320 0.62 -
2368at4891_2|ptg000013l:468770-471571    -            934 17712at4891          -            341   1.1e-07   28.5   0.2   4   7      0.53        20    1.3   0.0    23    87   302   378   294   396 0.57 -
2368at4891_2|ptg000013l:468770-471571    -            934 17712at4891          -            341   1.1e-07   28.5   0.2   5   7     0.031       1.2    5.3   0.0   110   174   458   529   411   551 0.62 -
2368at4891_2|ptg000013l:468770-471571    -            934 17712at4891          -            341   1.1e-07   28.5   0.2   6   7     0.052       1.9    4.6   0.0   107   136   580   609   536   625 0.73 -
2368at4891_2|ptg000013l:468770-471571    -            934 17712at4891          -            341   1.1e-07   28.5   0.2   7   7      0.15       5.5    3.1   0.0    60    94   626   660   620   672 0.74 -
1653at4891_4|ptg000008l:850268-852322    -            685 17712at4891          -            341   1.1e-07   28.4   0.0   1   3   0.00054      0.02   11.1   0.0    26    86    13    74     3    77 0.83 -
1653at4891_4|ptg000008l:850268-852322    -            685 17712at4891          -            341   1.1e-07   28.4   0.0   2   3   6.9e-08   2.6e-06   23.9   0.0    23    90    55   120    49   130 0.87 -
1653at4891_4|ptg000008l:850268-852322    -            685 17712at4891          -            341   1.1e-07   28.4   0.0   3   3       9.2   3.5e+02   -2.8   0.0   299   315   329   345   326   347 0.80 -
16921at4891_3|ptg000006l:551155-551790   -            212 17712at4891          -            341   1.3e-07   28.2   0.4   1   3       1.1        43    0.2   0.0    22    40    10    29     1    51 0.57 -
16921at4891_3|ptg000006l:551155-551790   -            212 17712at4891          -            341   1.3e-07   28.2   0.4   2   3   4.1e-08   1.6e-06   24.6   0.1    21    93    74   142    64   146 0.90 -
16921at4891_3|ptg000006l:551155-551790   -            212 17712at4891          -            341   1.3e-07   28.2   0.4   3   3       2.3        86   -0.8   0.0   268   293   160   185   142   201 0.68 -
5986at4891_2|ptg000007l:426109-427647    -            513 17712at4891          -            341   1.3e-07   28.1   0.1   1   3      0.28        11    2.2   0.0   268   321    55   107    30   112 0.74 -
5986at4891_2|ptg000007l:426109-427647    -            513 17712at4891          -            341   1.3e-07   28.1   0.1   2   3   8.2e-06   0.00031   17.1   0.0    17   138    84   200    79   206 0.73 -
5986at4891_2|ptg000007l:426109-427647    -            513 17712at4891          -            341   1.3e-07   28.1   0.1   3   3    0.0096      0.36    7.0   0.0    13    93   211   295   201   300 0.62 -
6711at4891_3|ptg000010l:294377-296545    -            723 17712at4891          -            341   1.4e-07   28.1   1.9   1   4    0.0014     0.055    9.7   0.0    50   138   298   381   288   386 0.81 -
6711at4891_3|ptg000010l:294377-296545    -            723 17712at4891          -            341   1.4e-07   28.1   1.9   2   4       5.8   2.2e+02   -2.2   0.0   108   153   522   567   506   575 0.71 -
6711at4891_3|ptg000010l:294377-296545    -            723 17712at4891          -            341   1.4e-07   28.1   1.9   3   4     0.063       2.4    4.3   0.1    31    86   614   669   603   688 0.76 -
6711at4891_3|ptg000010l:294377-296545    -            723 17712at4891          -            341   1.4e-07   28.1   1.9   4   4    0.0006     0.023   10.9   0.0    56    85   692   722   680   723 0.83 -
12947at4891_2|ptg000012l:72001-73275     -            425 17712at4891          -            341     2e-07   27.5   0.1   1   2   1.3e-06   4.9e-05   19.7   0.0   275   317    49    94    30   111 0.86 -
12947at4891_2|ptg000012l:72001-73275     -            425 17712at4891          -            341     2e-07   27.5   0.1   2   2     0.051       1.9    4.6   0.1   106   145   213   252   154   256 0.88 -
8291at4891_7|ptg000017l:639682-641826    -            715 17712at4891          -            341   2.9e-07   27.0   7.4   1   3    0.0088      0.33    7.1   0.1    49    87     7    44     3    67 0.86 -
8291at4891_7|ptg000017l:639682-641826    -            715 17712at4891          -            341   2.9e-07   27.0   7.4   2   3    0.0047      0.18    8.0   1.4    16    93   101   175    96   189 0.75 -
8291at4891_7|ptg000017l:639682-641826    -            715 17712at4891          -            341   2.9e-07   27.0   7.4   3   3   0.00014    0.0054   13.0   0.1    39   137   206   290   186   297 0.75 -
24793at4891_6|ptg000008l:152056-153399   -            448 17712at4891          -            341     5e-07   26.3   0.1   1   2   1.2e-07   4.4e-06   23.2   0.0    49   139   218   301   210   307 0.82 -
24793at4891_6|ptg000008l:152056-153399   -            448 17712at4891          -            341     5e-07   26.3   0.1   2   2       1.3        50   -0.0   0.1    75   103   387   415   383   422 0.71 -
10660at4891_2|ptg000013l:519519-521471   -            651 17712at4891          -            341   9.3e-07   25.4   0.2   1   2     0.055       2.1    4.5   0.0    53    93    79   118    72   133 0.72 -
10660at4891_2|ptg000013l:519519-521471   -            651 17712at4891          -            341   9.3e-07   25.4   0.2   2   2     4e-06   0.00015   18.1   0.0    18    89   148   216   134   233 0.82 -
21297at4891_1|ptg000011l:380611-381618   -            336 17712at4891          -            341   1.9e-06   24.3   0.3   1   2      0.57        21    1.2   0.0   298   327    13    42     2    56 0.76 -
21297at4891_1|ptg000011l:380611-381618   -            336 17712at4891          -            341   1.9e-06   24.3   0.3   2   2   7.6e-07   2.9e-05   20.5   0.0    57   131   252   325   244   332 0.78 -
18416at4891_5|ptg000005l:784230-785345   -            372 17712at4891          -            341   1.9e-06   24.3   1.4   1   3     0.003      0.11    8.7   0.0   107   173    60   136    43   153 0.75 -
18416at4891_5|ptg000005l:784230-785345   -            372 17712at4891          -            341   1.9e-06   24.3   1.4   2   3       2.7     1e+02   -1.1   0.0   106   137   173   205   160   213 0.72 -
18416at4891_5|ptg000005l:784230-785345   -            372 17712at4891          -            341   1.9e-06   24.3   1.4   3   3    0.0078       0.3    7.3   0.6    27    42   237   252   225   334 0.60 -
20201at4891_5|ptg000007l:442942-443886   -            315 17712at4891          -            341   2.3e-06   24.1   0.5   1   3     0.056       2.1    4.5   0.0    70   105     1    36     1    48 0.74 -
20201at4891_5|ptg000007l:442942-443886   -            315 17712at4891          -            341   2.3e-06   24.1   0.5   2   3   3.4e-05    0.0013   15.0   0.0   106   169    90   159    85   170 0.77 -
20201at4891_5|ptg000007l:442942-443886   -            315 17712at4891          -            341   2.3e-06   24.1   0.5   3   3      0.95        36    0.4   0.0   121   142   256   277   245   309 0.66 -
4263at4891_2|ptg000003l:737369-740404    -           1012 17712at4891          -            341   3.7e-06   23.4   8.3   1   5      0.13       4.8    3.3   0.0   276   311    28    63    24    85 0.86 -
4263at4891_2|ptg000003l:737369-740404    -           1012 17712at4891          -            341   3.7e-06   23.4   8.3   2   5   1.6e-05   0.00062   16.1   0.3    48   138   172   252   157   262 0.79 -
4263at4891_2|ptg000003l:737369-740404    -           1012 17712at4891          -            341   3.7e-06   23.4   8.3   3   5       0.1       3.9    3.6   0.1    27   139   681   799   675   810 0.66 -
4263at4891_2|ptg000003l:737369-740404    -           1012 17712at4891          -            341   3.7e-06   23.4   8.3   4   5      0.81        31    0.6   0.0    26    85   782   845   770   851 0.73 -
4263at4891_2|ptg000003l:737369-740404    -           1012 17712at4891          -            341   3.7e-06   23.4   8.3   5   5       1.1        42    0.2   0.0    66   138   897   967   878   971 0.78 -
16921at4891_4|ptg000007l:472642-473127   -            162 17712at4891          -            341   4.2e-06   23.2   0.1   1   1   1.9e-07   7.1e-06   22.5   0.1    51   171    14   137     2   147 0.81 -
6917at4891_2|ptg000006l:445926-447674    -            583 17712at4891          -            341   4.8e-06   23.0   0.0   1   3    0.0016     0.061    9.5   0.0   105   144   235   273   219   344 0.81 -
6917at4891_2|ptg000006l:445926-447674    -            583 17712at4891          -            341   4.8e-06   23.0   0.0   2   3     0.046       1.8    4.7   0.0    67   126   468   523   456   536 0.64 -
6917at4891_2|ptg000006l:445926-447674    -            583 17712at4891          -            341   4.8e-06   23.0   0.0   3   3     0.062       2.4    4.3   0.0    58    86   554   582   552   583 0.91 -
24793at4891_2|ptg000001l:75048-76022     -            325 17712at4891          -            341   6.6e-06   22.6   0.5   1   2      0.45        17    1.5   0.1   238   290    74   124    69   129 0.74 -
24793at4891_2|ptg000001l:75048-76022     -            325 17712at4891          -            341   6.6e-06   22.6   0.5   2   2   2.4e-06   9.2e-05   18.8   0.0    50   138   237   318   213   324 0.82 -
14552at4891_2|ptg000002l:127651-128790   -            380 17712at4891          -            341   6.7e-06   22.5   0.1   1   4    0.0011     0.041   10.1   0.0    14   136    15   129     4   138 0.65 -
14552at4891_2|ptg000002l:127651-128790   -            380 17712at4891          -            341   6.7e-06   22.5   0.1   2   4   7.9e-05     0.003   13.8   0.0    18   150    65   194    58   204 0.77 -
14552at4891_2|ptg000002l:127651-128790   -            380 17712at4891          -            341   6.7e-06   22.5   0.1   3   4     0.017      0.64    6.2   0.0    57    84   151   178   149   247 0.49 -
14552at4891_2|ptg000002l:127651-128790   -            380 17712at4891          -            341   6.7e-06   22.5   0.1   4   4       5.4     2e+02   -2.0   0.0    64    83   360   379   344   380 0.75 -
16921at4891_3|ptg000005l:1002954-1003748 -            265 17712at4891          -            341   1.1e-05   21.8   0.2   1   3    0.0014     0.052    9.8   0.1   256   328     7    79     3    84 0.85 -
16921at4891_3|ptg000005l:1002954-1003748 -            265 17712at4891          -            341   1.1e-05   21.8   0.2   2   3     0.018      0.67    6.1   0.0    57    97    96   139    85   194 0.44 -
16921at4891_3|ptg000005l:1002954-1003748 -            265 17712at4891          -            341   1.1e-05   21.8   0.2   3   3     0.076       2.9    4.0   0.0    54    87   165   198   149   220 0.69 -
24709at4891_2|ptg000014l:208254-209417   -            388 17712at4891          -            341   2.2e-05   20.9   0.1   1   2   0.00016    0.0059   12.9   0.0    13   128   100   213    92   224 0.78 -
24709at4891_2|ptg000014l:208254-209417   -            388 17712at4891          -            341   2.2e-05   20.9   0.1   2   2     0.032       1.2    5.3   0.0    66    86   303   323   293   351 0.76 -
12680at4891_2|ptg000017l:268705-269682   -            326 17712at4891          -            341   2.6e-05   20.6   0.1   1   4      0.52        20    1.3   0.0   148   172    30    54    12    87 0.65 -
12680at4891_2|ptg000017l:268705-269682   -            326 17712at4891          -            341   2.6e-05   20.6   0.1   2   4    0.0039      0.15    8.3   0.0    37    86    92   141    67   148 0.81 -
12680at4891_2|ptg000017l:268705-269682   -            326 17712at4891          -            341   2.6e-05   20.6   0.1   3   4      0.47        18    1.4   0.0   276   315   175   218   140   228 0.63 -
12680at4891_2|ptg000017l:268705-269682   -            326 17712at4891          -            341   2.6e-05   20.6   0.1   4   4     0.064       2.4    4.3   0.0    62    92   254   284   250   322 0.87 -
14677at4891_4|ptg000005l:1329188-1330753 -            522 17712at4891          -            341     3e-05   20.4   0.0   1   3       1.8        66   -0.5   0.0   303   327   250   274   193   282 0.77 -
14677at4891_4|ptg000005l:1329188-1330753 -            522 17712at4891          -            341     3e-05   20.4   0.0   2   3   2.7e-05     0.001   15.4   0.0    69   142   348   425   321   428 0.78 -
14677at4891_4|ptg000005l:1329188-1330753 -            522 17712at4891          -            341     3e-05   20.4   0.0   3   3      0.75        28    0.8   0.0   110   158   447   500   432   511 0.71 -
33087at4891_2|ptg000008l:1017853-1019040 -            396 17712at4891          -            341   3.1e-05   20.4   0.5   1   3       1.5        55   -0.2   0.1    17    41    19    44    13   141 0.73 -
33087at4891_2|ptg000008l:1017853-1019040 -            396 17712at4891          -            341   3.1e-05   20.4   0.5   2   3     0.066       2.5    4.2   0.0    51    76   229   254   186   271 0.64 -
33087at4891_2|ptg000008l:1017853-1019040 -            396 17712at4891          -            341   3.1e-05   20.4   0.5   3   3    0.0002    0.0075   12.5   0.0    54   103   290   340   270   347 0.78 -
6691at4891_2|ptg000003l:135792-137510    -            573 17712at4891          -            341   0.00025   17.4   0.1   1   2   0.00011     0.004   13.4   0.0    44   141   225   314   219   369 0.72 -
6691at4891_2|ptg000003l:135792-137510    -            573 17712at4891          -            341   0.00025   17.4   0.1   2   2      0.92        35    0.5   0.0    71    87   414   430   398   441 0.74 -
16921at4891_0|ptg000008l:611070-611840   -            257 17712at4891          -            341    0.0004   16.7   0.1   1   2    0.0064      0.24    7.6   0.0    99   137    65   102    43   112 0.76 -
16921at4891_0|ptg000008l:611070-611840   -            257 17712at4891          -            341    0.0004   16.7   0.1   2   2   0.00068     0.026   10.8   0.1    28   138    89   211    87   218 0.65 -
10649at4891_2|ptg000004l:230996-232786   -            597 17712at4891          -            341   0.00054   16.3   0.0   1   2    0.0006     0.023   10.9   0.0    46    97   294   346   256   363 0.83 -
10649at4891_2|ptg000004l:230996-232786   -            597 17712at4891          -            341   0.00054   16.3   0.0   2   2      0.56        21    1.2   0.0   140   165   556   581   506   591 0.76 -
15697at4891_3|ptg000009l:408673-410127   -            485 17712at4891          -            341    0.0012   15.1   0.1   1   1   7.4e-05    0.0028   13.9   0.1    33    94   334   395   315   441 0.83 -
15470at4891|ptg000017l:458260-458820     -            187 17712at4891          -            341     0.005   13.1   0.0   1   2     0.001     0.039   10.2   0.0   108   170     3    71     1    78 0.73 -
15470at4891|ptg000017l:458260-458820     -            187 17712at4891          -            341     0.005   13.1   0.0   2   2         6   2.3e+02   -2.2   0.0    23    41   166   184   158   187 0.60 -
12237at4891_2|ptg000014l:480272-481933   -            554 17712at4891          -            341    0.0062   12.8   0.4   1   2    0.0081      0.31    7.2   0.1    52    89   136   172   111   234 0.72 -
12237at4891_2|ptg000014l:480272-481933   -            554 17712at4891          -            341    0.0062   12.8   0.4   2   2      0.15       5.6    3.1   0.0   290   332   339   381   294   389 0.81 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/17712at4891.hmm
# Target file:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/17712at4891.out --cpu 1 /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/17712at4891.hmm /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas 
# Current dir:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly
# Date:            Wed Feb 21 15:52:36 2024
# [ok]
